,job_title,company,location,expiration_date,source,weblink
0,Head of Policy,The Good Food Institute Europe,"Home-based within Europe, Brussels office based, or a mix",05/24/2021,nextbillion,https://nextbillion.net/jobs/head-of-policy/
1,Director of Finance,Center on Rural Innovation,Hartland Vermont,05/31/2021,nextbillion,https://nextbillion.net/jobs/director-of-finance/
2,Social Impact & Career Growth Fellowship,MovingWorlds,Remote,06/30/2021,nextbillion,https://nextbillion.net/jobs/social-impact-career-growth-fellowship/
3,Project Lead,Instiglio,"Nairobi, Kenya",05/14/2021,nextbillion,https://nextbillion.net/jobs/project-lead/
4,Director of Communications,Social Capital Partners,"Toronto, ON",04/30/2021,nextbillion,https://nextbillion.net/jobs/director-of-communications/
5,Development Director Fellowship,Encore.org,Remote / SF Bay area,05/28/2021,nextbillion,https://nextbillion.net/jobs/development-director-fellowship/
6,Business Development Specialist,Encore.org,Remote,05/29/2021,nextbillion,https://nextbillion.net/jobs/business-development-specialist/
7,Senior Engagement Manager,Sattva Consulting,Mumbai,05/27/2021,nextbillion,https://nextbillion.net/jobs/senior-engagement-manager/
8,Director,New Delhi,Full- time,05/27/2021,nextbillion,https://nextbillion.net/jobs/director/
9,Product Manager,Taptap,"London, Paris, or New York",05/02/2021,nextbillion,https://nextbillion.net/jobs/product-manager/
10,Operations Associate,Tideline,"Portland, OR or San Francisco, CA; remote on near-term",05/03/2021,nextbillion,https://nextbillion.net/jobs/operations-associate/
11,Head of Deal Origination and Execution,Baytree,Mumbai,05/27/2021,nextbillion,https://nextbillion.net/jobs/head-of-deal-origination-and-execution/
12,Major Gifts Officer,Wikimedia Foundation,Remote,05/31/2021,nextbillion,https://nextbillion.net/jobs/major-gifts-officer/
13,Community Manager,MovingWorlds,Global / Virtual,05/15/2021,nextbillion,https://nextbillion.net/jobs/community-manager/
14,Grants & Impact Manager,Pawame Kenya Ltd,"Nairobi, Kenya",04/25/2021,nextbillion,https://nextbillion.net/jobs/grants-impact-manager/
15,Policy and Regional Representation Internship,GOGLA,"Abidjan, Ivory Coast",04/30/2021,nextbillion,https://nextbillion.net/jobs/policy-and-regional-representation-internship/
16,Director,New Delhi,Full- time,05/27/2021,nextbillion,https://nextbillion.net/jobs/director/
17,Product Manager,Taptap,"London, Paris, or New York",05/02/2021,nextbillion,https://nextbillion.net/jobs/product-manager/
18,Operations Associate,Tideline,"Portland, OR or San Francisco, CA; remote on near-term",05/03/2021,nextbillion,https://nextbillion.net/jobs/operations-associate/
19,Head of Deal Origination and Execution,Baytree,Mumbai,05/27/2021,nextbillion,https://nextbillion.net/jobs/head-of-deal-origination-and-execution/
20,Major Gifts Officer,Wikimedia Foundation,Remote,05/31/2021,nextbillion,https://nextbillion.net/jobs/major-gifts-officer/
21,Community Manager,MovingWorlds,Global / Virtual,05/15/2021,nextbillion,https://nextbillion.net/jobs/community-manager/
22,Grants & Impact Manager,Pawame Kenya Ltd,"Nairobi, Kenya",04/25/2021,nextbillion,https://nextbillion.net/jobs/grants-impact-manager/
23,Policy and Regional Representation Internship,GOGLA,"Abidjan, Ivory Coast",04/30/2021,nextbillion,https://nextbillion.net/jobs/policy-and-regional-representation-internship/
24,Data Scientist,Angaza," San Francisco, CA",31 Jul 2021,findevgateway,https://www.findevgateway.org/jobs-internships/data-scientist
25,Analyst,Instiglio," Nairobi, Kenya",30 Jun 2021,findevgateway,https://www.findevgateway.org/jobs-internships/analyst
26,Manager,Instiglio," Nairobi, Kenya",30 Jun 2021,findevgateway,https://www.findevgateway.org/jobs-internships/manager-0
27,Senior Associate,Instiglio," Nairobi, Kenya",30 Jun 2021,findevgateway,https://www.findevgateway.org/jobs-internships/senior-associate
28,Investment Advisor,ADA, Latin America,14 May 2021,findevgateway,https://www.findevgateway.org/jobs-internships/investment-advisor-0
29,Project Lead,Instiglio," Nairobi, Kenya",14 May 2021,findevgateway,https://www.findevgateway.org/jobs-internships/project-lead
30,Investment Analyst/Officer,Fragg Investment Management Ltd,Not available,30 Apr 2021,findevgateway,https://www.findevgateway.org/jobs-internships/investment-analystofficer
31,Senior Financial Analyst,Root Capital, USA,30 Apr 2021,findevgateway,https://www.findevgateway.org/jobs-internships/senior-financial-analyst
